City_ID,City,Country,Max Temp,Description,Lat,Lng,Current Description,Hotel Name
1,Hithadhoo,MV,82.96,overcast clouds,-0.6,73.0833,overcast clouds,Scoop Guest House
2,Kapaa,US,81.48,broken clouds,22.0752,-159.319,broken clouds,Sheraton Kauai Coconut Beach Resort
3,Panalingaan,PH,79.75,broken clouds,8.7842,117.4231,broken clouds,I Love Panalingaan View Deck
4,Saint George,US,99.43,clear sky,37.1041,-113.5841,clear sky,Best Western Plus Abbey Inn
5,Hilo,US,85.28,few clouds,19.7297,-155.09,few clouds,Hilo Hawaiian Hotel
7,Sal Rei,CV,72.16,broken clouds,16.1833,-22.9167,broken clouds,Marine Club Beach Resort
11,Rikitea,PF,76.73,broken clouds,-23.1203,-134.9692,broken clouds,People ThankYou
23,Cayenne,GF,77.09,heavy intensity rain,4.9333,-52.3333,heavy intensity rain,Hôtel Le Dronmi
29,Atuona,PF,78.39,light rain,-9.8,-139.0333,light rain,Villa Enata
31,Katsina,NG,88.2,clear sky,12.9894,7.6006,clear sky,Katsina Motel
32,Bambous Virieux,MU,75.45,light rain,-20.3428,57.7575,light rain,Casa Tia Villa
33,Tamandare,BR,79.02,overcast clouds,-8.7597,-35.1047,overcast clouds,Pousada 100 Passos
36,Vaini,TO,74.61,broken clouds,-21.2,-175.2,broken clouds,Keleti Beach Resort
39,Alcantara,BR,84.4,broken clouds,-2.4089,-44.4147,broken clouds,Pousada da Josefa
41,Ambanja,MG,70.07,few clouds,-13.6833,48.45,few clouds,Hotel Salama and Fast Food
43,Bengkulu,ID,76.24,overcast clouds,-3.8004,102.2655,overcast clouds,Grage Hotel Bengkulu
45,Port-Gentil,GA,80.67,overcast clouds,-0.7193,8.7815,overcast clouds,Fengshui Residence
46,Point Fortin,TT,83.86,overcast clouds,10.1833,-61.6833,overcast clouds,Jus Les' Suites
49,San Pedro,PH,79.32,overcast clouds,14.35,121.0167,overcast clouds,Esquivel's Garden And Resort
54,Bandarbeyla,SO,81.55,few clouds,9.4942,50.8122,few clouds,JABIR HOTEL
58,Butaritari,KI,80.8,clear sky,3.0707,172.7902,clear sky,Isles Sunset Lodge
