City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Grindavik,IS,63.8424,-22.4338,48.67,100,100,21.85,overcast clouds
1,Hithadhoo,MV,-0.6,73.0833,82.96,75,87,12.77,overcast clouds
2,Kapaa,US,22.0752,-159.319,81.48,77,82,5.99,broken clouds
3,Panalingaan,PH,8.7842,117.4231,79.75,82,84,1.63,broken clouds
4,Saint George,US,37.1041,-113.5841,99.43,6,0,9.22,clear sky
5,Hilo,US,19.7297,-155.09,85.28,84,12,8.01,few clouds
6,Pastavy,BY,55.1168,26.8326,41.07,83,73,9.75,broken clouds
7,Sal Rei,CV,16.1833,-22.9167,72.16,86,53,20.04,broken clouds
8,Ekibastuz,KZ,51.6667,75.3667,61.97,50,70,8.46,broken clouds
9,Muroto,JP,33.2833,134.15,60.48,78,100,4.97,light rain
10,East London,ZA,-33.0153,27.9116,62.38,85,0,9.22,clear sky
11,Rikitea,PF,-23.1203,-134.9692,76.73,70,52,18.66,broken clouds
12,Leningradskiy,RU,69.3833,178.4167,24.71,81,99,2.17,overcast clouds
13,Hofn,IS,64.2539,-15.2082,47.71,90,100,2.15,overcast clouds
14,Suntar,RU,62.1444,117.6319,38.52,73,75,6.55,broken clouds
15,Ilulissat,GL,69.2167,-51.1,26.62,50,3,0.0,clear sky
16,Torbay,CA,47.6666,-52.7314,36.75,81,31,11.99,scattered clouds
17,Punta Arenas,CL,-53.15,-70.9167,44.71,70,0,9.22,clear sky
18,Mataura,NZ,-46.1927,168.8643,46.83,85,10,2.1,clear sky
19,Cape Town,ZA,-33.9258,18.4232,62.11,82,0,7.0,clear sky
20,Ushuaia,AR,-54.8,-68.3,40.93,84,100,10.27,overcast clouds
21,Port Alfred,ZA,-33.5906,26.891,62.8,86,0,11.52,clear sky
22,Cidreira,BR,-30.1811,-50.2056,61.43,89,100,14.47,overcast clouds
23,Cayenne,GF,4.9333,-52.3333,77.09,1,75,2.3,heavy intensity rain
24,Zabaykalsk,RU,49.6333,117.3167,48.94,39,32,4.81,scattered clouds
25,Mutsu,JP,41.2894,141.2169,54.0,64,0,8.86,clear sky
26,Nikolskoye,RU,59.7035,30.7861,42.69,89,44,7.05,scattered clouds
27,Husavik,IS,66.0449,-17.3389,48.02,85,81,7.29,broken clouds
28,Albany,US,42.6001,-73.9662,74.25,91,30,4.83,scattered clouds
29,Atuona,PF,-9.8,-139.0333,78.39,77,13,17.09,light rain
30,Hermanus,ZA,-34.4187,19.2345,60.8,74,0,9.24,clear sky
31,Katsina,NG,12.9894,7.6006,88.2,11,9,10.98,clear sky
32,Bambous Virieux,MU,-20.3428,57.7575,75.45,83,40,11.5,light rain
33,Tamandare,BR,-8.7597,-35.1047,79.02,80,100,6.33,overcast clouds
34,Plettenberg Bay,ZA,-34.0527,23.3716,61.83,56,0,4.76,clear sky
35,New Norfolk,AU,-42.7826,147.0587,47.7,80,67,3.0,light rain
36,Vaini,TO,-21.2,-175.2,74.61,60,77,14.81,broken clouds
37,Aklavik,CA,68.2191,-135.0107,32.16,99,100,6.76,overcast clouds
38,Ribeira Grande,PT,38.5167,-28.7,63.0,88,75,34.52,light rain
39,Alcantara,BR,-2.4089,-44.4147,84.4,90,68,9.37,broken clouds
40,Busselton,AU,-33.65,115.3333,51.57,83,7,7.65,clear sky
41,Ambanja,MG,-13.6833,48.45,70.07,87,12,4.09,few clouds
42,Kilingi-Nomme,EE,58.1503,24.9642,44.01,75,0,9.53,clear sky
43,Bengkulu,ID,-3.8004,102.2655,76.24,90,94,1.39,overcast clouds
44,Lebu,CL,-37.6167,-73.65,54.66,63,100,3.98,overcast clouds
45,Port-Gentil,GA,-0.7193,8.7815,80.67,85,100,11.59,overcast clouds
46,Point Fortin,TT,10.1833,-61.6833,83.86,78,99,13.47,overcast clouds
47,Norman Wells,CA,65.282,-126.8329,55.0,55,100,15.35,overcast clouds
48,Amapa,BR,1.0,-52.0,73.83,99,99,2.08,light rain
49,San Pedro,PH,14.35,121.0167,79.32,91,100,3.33,overcast clouds
